gene_id	exp1	exp2	exp3	expa1	expa2	expa3	ctl1	ctl2	ctl3
0610009B22Rik	62	84	40	105	78	87	67	102	55
0610010F05Rik	1270	1111	1049	996	1256	999	1048	1097	1049
0610010K14Rik	180	211	233	277	338	364	215	263	286
0610012G03Rik	164	140	172	162	103	158	134	142	150
0610030E20Rik	840	914	925	726	655	909	798	882	922
0610040J01Rik	40	47	39	42	19	30	27	55	34
1110002E22Rik	57	46	50	35	27	22	39	45	46
1110004F10Rik	521	630	572	651	734	746	624	645	605
1110008P14Rik	183	173	208	188	167	276	171	209	319
1110017D15Rik	211	277	247	77	113	105	184	154	96
1110025L11Rik	1	0	0	0	0	0	0	0	0
1110025M09Rik	108	107	124	70	112	76	89	125	108
1110032A03Rik	339	337	373	358	426	280	349	345	278
1110032F04Rik	102	164	104	151	92	159	113	105	136
1110038F14Rik	213	246	243	293	305	407	246	209	339
1110051M20Rik	717	744	734	696	687	702	697	702	716
1110059E24Rik	66	55	56	83	69	70	62	72	65
1110059G10Rik	112	143	122	143	179	141	151	149	152
1110065P20Rik	110	161	143	130	180	157	138	167	165
1190005I06Rik	1	5	4	0	0	2	0	4	0
1190007I07Rik	97	86	87	91	85	101	89	83	147
1300017J02Rik	5	13	5	2	7	6	11	13	4
1500009L16Rik	78	110	103	95	141	134	102	114	85
1520401A03Rik	29	35	62	62	68	38	49	71	53
1600012H06Rik	442	457	456	379	477	439	447	510	443
1600014C10Rik	153	217	233	240	236	239	173	223	179
1600014C23Rik	1	0	0	0	2	0	0	0	0
1700001C19Rik	12	11	30	10	26	10	28	17	9
1700001J03Rik	84	115	116	38	61	42	91	73	64
1700001K19Rik	2	2	1	0	0	0	0	4	0
1700001L19Rik	22	57	18	28	39	22	17	22	15
1700001O22Rik	190	189	207	128	205	168	177	177	198
1700001P01Rik	21	23	24	5	10	26	19	19	7
1700003E16Rik	48	65	66	64	52	73	78	81	51
1700003F12Rik	6	9	1	5	4	8	9	3	2
1700007K13Rik	42	60	38	43	36	63	46	53	51
1700008O03Rik	40	32	41	15	28	20	39	21	18
1700010B08Rik	0	0	0	0	0	0	0	1	2
1700010I14Rik	18	21	13	30	39	35	33	34	29
1700011L22Rik	7	2	3	3	3	0	8	7	5
1700012A03Rik	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	1	0	2	0	0
1700012B09Rik	9	26	4	4	11	20	12	18	20
1700012P22Rik	0	0	0	0	0	0	0	0	0
1700013F07Rik	41	31	36	37	41	37	53	43	65
1700013H16Rik	5	3	0	0	2	2	3	8	3
1700014D04Rik	7	13	5	21	7	17	3	11	10
1700016C15Rik	0	1	0	0	0	0	1	3	0
1700016D06Rik	0	0	2	0	0	0	1	0	0
1700016H13Rik	1	0	1	0	2	0	7	0	0
1700016K19Rik	8	31	23	7	14	15	25	32	7
1700017B05Rik	289	487	399	279	293	321	344	366	217
1700017N19Rik	0	0	0	0	0	0	0	1	0
1700018B08Rik	0	0	0	0	0	0	2	1	0
1700019A02Rik	13	3	14	9	4	2	9	6	4
1700019D03Rik	81	122	108	90	69	66	84	98	59
1700019N19Rik	0	0	0	1	0	1	1	0	0
1700020A23Rik	2	4	0	3	1	0	2	3	0
1700020L24Rik	0	1	5	5	0	1	4	4	6
1700020N15Rik	0	0	0	0	0	0	1	2	2
1700022I11Rik	0	1	1	0	0	0	3	1	0
1700024G13Rik	2	5	11	3	2	5	5	9	1
1700024J04Rik	2	7	0	6	0	0	1	5	9
1700025G04Rik	669	603	597	403	320	391	458	358	476
1700028K03Rik	55	56	73	59	57	52	52	78	75
1700028P14Rik	13	17	6	10	18	22	19	15	15
1700029H14Rik	1	0	0	1	3	9	2	8	0
1700029I15Rik	53	47	46	37	61	56	54	59	57
1700029J07Rik	383	477	469	437	472	564	409	476	448
1700030J22Rik	43	34	43	44	18	45	37	49	43
1700030K09Rik	276	234	223	268	243	281	214	214	232
1700031F05Rik	1	0	0	0	0	0	1	0	0
1700034E13Rik	4	0	0	0	0	0	0	0	0
1700034I23Rik	1	0	5	0	2	0	2	1	0
1700034J05Rik	0	0	0	0	0	0	0	1	0
1700037C18Rik	10	8	24	30	30	38	20	29	12
1700037H04Rik	94	145	158	101	143	127	162	141	160
1700042G07Rik	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0
1700056E22Rik	1	0	0	0	1	0	1	0	1
1700065D16Rik	5	0	1	0	2	2	0	0	0
1700066B19Rik	4	0	0	2	4	5	3	0	5
1700066M21Rik	400	465	335	302	213	332	302	311	290
1700067K01Rik	6	8	6	5	3	9	7	9	10
1700071K01Rik	0	0	0	4	0	0	0	1	0
1700088E04Rik	101	109	107	116	118	136	119	127	75
1700092M07Rik	1	0	1	0	2	2	4	1	11
1700093K21Rik	105	81	167	168	364	54	139	141	58
1700094D03Rik	631	728	774	432	482	581	638	598	446
1700102P08Rik	49	55	30	26	11	63	27	29	56
1700109H08Rik	288	285	296	190	206	168	249	227	121
1700113H08Rik	0	0	0	2	4	4	0	1	1
1700123K08Rik	13	7	9	6	3	1	4	7	1
1700123O20Rik	124	114	140	161	212	181	131	170	138
1700125H20Rik	0	4	0	6	4	0	2	1	0
1810009A15Rik	7	0	1	0	5	4	2	4	1
1810010H24Rik	87	131	110	170	150	148	93	133	96
1810013L24Rik	600	783	823	653	623	635	694	665	538
1810020O05Rik	389	442	484	614	1126	449	571	505	302
1810024B03Rik	14	10	16	3	8	8	15	6	18
1810030O07Rik	763	966	956	698	829	862	839	814	911
1810037I17Rik	206	282	236	369	397	361	237	255	290
1810046K07Rik	0	0	2	0	0	0	0	0	1
1810055G02Rik	479	442	350	355	362	398	442	481	417
1810058I24Rik	64	77	101	107	118	130	96	117	104
1810062G17Rik	4	1	0	12	9	12	3	2	7
1810065E05Rik	2	0	0	0	0	0	0	0	0
2010003K11Rik	0	0	0	0	4	0	0	0	0
2010106E10Rik	1	2	5	6	2	0	1	5	4
2010109A12Rik	3	1	1	4	0	1	6	2	2
2010315B03Rik	361	431	342	485	532	557	430	502	538
2200002D01Rik	3	15	9	56	43	56	6	4	14
2210016F16Rik	27	67	52	57	54	85	48	55	52
2210016L21Rik	878	886	1011	839	1065	861	1021	1000	894
2210408I21Rik	122	77	81	136	73	69	87	111	88
2210418O10Rik	1	3	2	4	1	9	1	1	5
