ID seqnames start end width strand source gene_id gene_type gene_name level hgnc_id havana_gene tag start_v38 end_v38 width_v38 gene_id_v38 gene_type_v38 gene_name_v38 level_v38 hgnc_id_v38 havana_gene_v38 tag_v38
2914209 RAB4B chr19 40778216 40796942 18727 + HAVANA ENSG00000167578.18 protein_coding RAB4B 2 HGNC:9782 OTTHUMG00000182694.6 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1936599 TIGAR chr12 4307763 4360028 52266 + HAVANA ENSG00000078237.7 protein_coding TIGAR 2 HGNC:1185 OTTHUMG00000168124.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
50995 PIGV chr1 26787054 26800659 13606 + HAVANA ENSG00000060642.12 protein_coding PIGV 2 HGNC:26031 OTTHUMG00000004005.9 NA NA NA NA ENSG00000060642.11 NA NA NA NA NA NA
2521093 CALB2 chr16 71358713 71390436 31724 + HAVANA ENSG00000172137.19 protein_coding CALB2 2 HGNC:1435 OTTHUMG00000137589.7 NA NA NA NA NA NA NA NA NA NA NA
1477110 MFSD3 chr8 144509070 144511213 2144 + HAVANA ENSG00000167700.9 protein_coding MFSD3 2 HGNC:25157 OTTHUMG00000165177.3 NA NA NA NA NA NA NA NA NA NA NA
2877453 ZNF708 chr19 21291160 21329425 38266 - HAVANA ENSG00000182141.10 protein_coding ZNF708 2 HGNC:12945 OTTHUMG00000182841.3 NA NA NA NA NA NA NA NA NA NA NA
2731618 MYADML2 chr17 81939645 81947233 7589 - HAVANA ENSG00000185105.5 protein_coding MYADML2 2 HGNC:34548 OTTHUMG00000154388.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
3178489 PHEX chrX 22032325 22494713 462389 + HAVANA ENSG00000102174.10 protein_coding PHEX 2 HGNC:8918 OTTHUMG00000021241.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2848702 RAD23A chr19 12945855 12953642 7788 + HAVANA ENSG00000179262.10 protein_coding RAD23A 2 HGNC:9812 OTTHUMG00000180723.5 NA NA NA NA NA NA NA NA NA NA NA
2855607 ADGRE2 chr19 14732392 14778560 46169 - HAVANA ENSG00000127507.18 protein_coding ADGRE2 1 HGNC:3337 OTTHUMG00000183408.4 NA NA NA NA NA NA NA NA NA NA NA
1398415 VDAC3 chr8 42391624 42405937 14314 + HAVANA ENSG00000078668.14 protein_coding VDAC3 1 HGNC:12674 OTTHUMG00000164168.4 NA NA NA NA NA NA NA NA NA NA NA
1688922 TLL2 chr10 96364608 96513926 149319 - HAVANA ENSG00000095587.9 protein_coding TLL2 2 HGNC:11844 OTTHUMG00000018833.3 NA NA NA NA NA NA NA NA NA NA NA
3051009 ARFGAP1 chr20 63272785 63289790 17006 + HAVANA ENSG00000101199.13 protein_coding ARFGAP1 1 HGNC:15852 OTTHUMG00000032965.8 ncRNA_host NA NA NA NA NA NA NA NA NA NA
1518472 RORB chr9 74497335 74693177 195843 + HAVANA ENSG00000198963.11 protein_coding RORB 2 HGNC:10259 OTTHUMG00000020026.3 NA NA NA NA NA NA NA NA NA NA NA
3031670 CTSA chr20 45890144 45898949 8806 + HAVANA ENSG00000064601.21 protein_coding CTSA 2 HGNC:9251 OTTHUMG00000033078.16 NA NA NA NA NA NA NA NA NA NA NA
2475505 ZNF267 chr16 31873807 31917357 43551 + HAVANA ENSG00000185947.15 protein_coding ZNF267 2 HGNC:13060 OTTHUMG00000176535.18 NA NA NA NA NA NA NA NA NA NA NA
1937888 NTF3 chr12 5432108 5521536 89429 + HAVANA ENSG00000185652.12 protein_coding NTF3 1 HGNC:8023 OTTHUMG00000168649.3 NA NA NA NA NA NA NA NA NA NA NA
2421585 IL32 chr16 3065297 3082192 16896 + HAVANA ENSG00000008517.19 protein_coding IL32 2 HGNC:16830 OTTHUMG00000167498.6 ncRNA_host NA NA NA NA NA NA NA NA NA NA
424187 PTPN4 chr2 119759922 119984899 224978 + HAVANA ENSG00000088179.9 protein_coding PTPN4 1 HGNC:9656 OTTHUMG00000131436.9 NA NA NA NA NA NA NA NA NA NA NA
2938252 TMEM143 chr19 48332356 48364059 31704 - HAVANA ENSG00000161558.11 protein_coding TMEM143 1 HGNC:25603 OTTHUMG00000183197.4 NA NA NA NA NA NA NA NA NA NA NA
1468572 GLI4 chr8 143267433 143276931 9499 + HAVANA ENSG00000250571.7 protein_coding GLI4 1 HGNC:4320 OTTHUMG00000164952.8 overlapping_locus NA NA NA NA NA NA NA NA NA NA
370279 SERTAD2 chr2 64631621 64751005 119385 - HAVANA ENSG00000179833.4 protein_coding SERTAD2 2 HGNC:30784 OTTHUMG00000152678.3 NA NA NA NA NA NA NA NA NA NA NA
1621149 OTUD1 chr10 23439075 23442377 3303 + HAVANA ENSG00000165312.7 protein_coding OTUD1 2 HGNC:27346 OTTHUMG00000017819.1 NA NA NA NA NA NA NA NA NA NA NA
2493453 ADGRG5 chr16 57542643 57591681 49039 + HAVANA ENSG00000159618.16 protein_coding ADGRG5 2 HGNC:19010 OTTHUMG00000133461.6 NA NA NA NA NA NA NA NA NA NA NA
113645 CACHD1 chr1 64470129 64693058 222930 + HAVANA ENSG00000158966.16 protein_coding CACHD1 2 HGNC:29314 OTTHUMG00000009030.7 ncRNA_host NA NA NA NA NA NA NA NA NA NA
2002656 KRT1 chr12 52674736 52680407 5672 - HAVANA ENSG00000167768.4 protein_coding KRT1 2 HGNC:6412 OTTHUMG00000169749.1 NA NA NA NA NA NA NA NA NA NA NA
535621 ECEL1 chr2 232479827 232487834 8008 - HAVANA ENSG00000171551.12 protein_coding ECEL1 2 HGNC:3147 OTTHUMG00000133262.4 NA NA NA NA NA NA NA NA NA NA NA
3251183 GPC3 chrX 133535745 133987100 451356 - HAVANA ENSG00000147257.16 protein_coding GPC3 2 HGNC:4451 OTTHUMG00000022448.6 NA NA 133985594 449850 ENSG00000147257.15 NA NA NA NA NA NA
1615561 HSPA14 chr10 14838306 14871741 33436 + HAVANA ENSG00000187522.16 protein_coding HSPA14 2 HGNC:29526 OTTHUMG00000191882.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2350658 ZWILCH chr15 66504959 66550130 45172 + HAVANA ENSG00000174442.12 protein_coding ZWILCH 2 HGNC:25468 OTTHUMG00000133194.8 NA NA NA NA NA NA NA NA NA NA NA
2129267 MTRF1 chr13 41216369 41263577 47209 - HAVANA ENSG00000120662.16 protein_coding MTRF1 2 HGNC:7469 OTTHUMG00000016790.7 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1466485 SLC45A4 chr8 141207166 141308305 101140 - HAVANA ENSG00000022567.10 protein_coding SLC45A4 1 HGNC:29196 OTTHUMG00000164393.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2928940 RTN2 chr19 45485294 45497055 11762 - HAVANA ENSG00000125744.12 protein_coding RTN2 2 HGNC:10468 OTTHUMG00000182123.2 NA NA NA NA NA NA NA NA NA NA NA
1089264 ZBTB22 chr6 33314406 33317942 3537 - HAVANA ENSG00000236104.3 protein_coding ZBTB22 2 HGNC:13085 OTTHUMG00000031110.5 NA NA NA NA NA NA NA NA NA NA NA
1131728 RWDD2A chr6 83193357 83198935 5579 + HAVANA ENSG00000013392.8 protein_coding RWDD2A 2 HGNC:21385 OTTHUMG00000015109.3 NA NA NA NA NA NA NA NA NA NA NA
803886 SCFD2 chr4 52872982 53366066 493085 - HAVANA ENSG00000184178.17 protein_coding SCFD2 1 HGNC:30676 OTTHUMG00000160588.7 ncRNA_host NA NA NA ENSG00000184178.16 NA NA NA NA NA NA
2925817 BCL3 chr19 44747705 44760044 12340 + HAVANA ENSG00000069399.15 protein_coding BCL3 1 HGNC:998 OTTHUMG00000151517.4 ncRNA_host NA NA NA NA NA NA NA NA NA NA
